api_football_id,name,firstname,lastname,norm_name,nationality,age,club,position,appearances,starts,minutes,starter_rate,goals,assists,shots_total,shots_on_target,key_passes,dribbles_success,tackles_total,tackles_blocks,interceptions,duels_won,yellow_cards,yellowred_cards,red_cards,saves,goals_conceded,penalties_won,penalties_missed,penalties_saved,fouls_drawn,fouls_committed,rating
247,C. Gakpo,Cody Mathès,Gakpo,c. gakpo,Netherlands,26,Liverpool,Midfielder,36,32,2765,0.889,7,5,54,21,53,34,28,4,13,162,3,0,0,0,0,1,0,0,44,42,6.89
280,Alisson Becker,Alisson Ramsés,Becker,alisson becker,Brazil,33,Liverpool,Goalkeeper,26,26,2351,1.0,0,0,0,0,0,0,0,0,0,11,1,0,0,57,29,0,0,0,7,1,6.78
284,J. Gomez,Joseph Dave,Gomez,j. gomez,England,28,Liverpool,Defender,21,7,644,0.333,0,2,5,1,6,3,10,2,9,26,4,0,0,0,0,0,0,0,0,14,6.57
289,A. Robertson,Andrew Henry,Robertson,a. robertson,Scotland,31,Liverpool,Defender,24,11,1188,0.458,1,0,4,3,20,3,12,3,8,30,0,0,0,0,0,0,0,0,1,4,6.74
290,V. van Dijk,Virgil,van Dijk,v. van dijk,Netherlands,34,Liverpool,Defender,38,38,3431,1.0,6,0,26,14,12,2,22,26,28,216,4,0,0,0,0,0,0,0,18,19,7.28
293,C. Jones,Curtis Julian,Jones,c. jones,England,24,Liverpool,Midfielder,34,18,1961,0.529,1,2,16,7,21,22,40,6,18,102,2,0,0,0,0,0,0,0,29,17,6.85
306,Mohamed Salah,Mohamed,Salah Hamed Mahrous Ghaly,mohamed salah,Egypt,33,Liverpool,Midfielder,27,23,2148,0.852,7,7,45,19,49,19,17,1,4,60,1,0,0,0,0,0,0,0,16,10,6.93
1096,D. Szoboszlai,Dominik,Szoboszlai,d. szoboszlai,Hungary,25,Liverpool,Midfielder,36,36,3244,1.0,6,7,47,23,78,26,55,8,30,130,8,0,1,0,0,0,1,0,30,41,7.19
1145,I. Konaté,Ibrahima,Konaté,i. konate,France,26,Liverpool,Defender,36,36,3100,1.0,1,0,9,4,8,5,53,24,28,220,7,0,0,0,0,0,0,0,41,33,7.07
6716,A. Mac Allister,Alexis,Mac Allister,a. mac allister,Argentina,27,Liverpool,Midfielder,37,31,2686,0.838,2,4,32,12,36,11,53,9,21,113,7,0,0,0,0,0,0,0,32,35,6.71
8500,W. Endo,Wataru,Endo,w. endo,Japan,32,Liverpool,Midfielder,8,1,206,0.125,0,1,0,0,1,0,7,0,0,18,1,0,0,0,0,0,0,0,3,2,6.73
19035,H. Elliott,Harvey Daniel James,Elliott,h. elliott,England,22,Liverpool,Midfielder,1,0,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5
24760,G. Mamardashvili,Giorgi,Mamardashvili,g. mamardashvili,Georgia,25,Liverpool,Goalkeeper,10,10,868,1.0,0,0,0,0,0,0,1,0,1,5,0,0,0,34,18,0,0,1,2,1,6.74
30410,F. Chiesa,Federico,Chiesa,f. chiesa,Italy,28,Liverpool,Attacker,26,1,400,0.038,2,1,11,5,3,2,8,2,4,20,3,0,0,0,0,0,0,0,7,11,6.58
152654,J. Frimpong,Jeremie Agyekum,Frimpong,j. frimpong,Netherlands,25,Liverpool,Defender,21,12,1079,0.571,0,1,6,2,15,18,11,0,6,57,1,0,0,0,0,0,0,0,21,8,6.75
174565,H. Ekitike,Hugo,Ekitike,h. ekitike,France,23,Liverpool,Attacker,28,21,1810,0.75,11,4,48,19,21,38,11,2,3,92,0,0,0,0,0,0,0,0,12,35,6.93
203224,F. Wirtz,Florian Richard,Wirtz,f. wirtz,Germany,22,Liverpool,Midfielder,33,27,2399,0.818,5,3,32,18,61,39,34,2,11,99,1,0,0,0,0,0,0,0,19,22,6.81
206254,M. Kerkez,Miloš,Kerkez,m. kerkez,Hungary,22,Liverpool,Defender,34,27,2301,0.794,2,1,7,2,26,12,41,8,14,114,4,0,0,0,0,0,0,0,30,22,6.62
397997,T. Nyoni,Treymaurice,Nyoni,t. nyoni,England,18,Liverpool,Midfielder,6,0,47,0.0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.53
1150,T. Adams,Tyler Shaan,Adams,t. adams,USA,26,Bournemouth,Midfielder,25,21,1778,0.84,2,2,8,6,7,6,50,9,33,93,8,0,0,0,0,0,0,0,13,35,6.85
6610,M. Senesi,Marcos Nicolás,Senesi Barón,m. senesi,Argentina,28,Bournemouth,Defender,37,37,3290,1.0,0,5,13,5,24,6,62,47,55,196,8,0,0,0,0,1,0,0,37,34,7.24
18869,A. Smith,Adam James,Smith,a. smith,England,34,Bournemouth,Defender,22,14,1095,0.636,0,2,0,0,5,1,15,9,9,39,3,0,0,0,0,0,0,0,11,19,6.54
18870,D. Brooks,David Robert,Brooks,d. brooks,Wales,28,Bournemouth,Midfielder,31,13,1220,0.419,1,3,31,13,26,17,19,0,4,55,7,0,0,0,0,0,0,0,13,11,6.66
19245,M. Tavernier,Marcus Joseph,Tavernier,m. tavernier,England,26,Bournemouth,Midfielder,34,31,2738,0.912,7,4,51,24,55,39,40,6,17,138,6,0,0,0,0,0,0,0,35,30,6.84
19281,A. Semenyo,Antoine Serlom,Semenyo,a. semenyo,Ghana,25,Bournemouth,Midfielder,20,20,1798,1.0,10,3,42,27,25,33,28,3,6,121,6,0,0,0,0,0,1,0,14,38,7.13
20093,J. Hill,James Clayton,Hill,j. hill,England,23,Bournemouth,Defender,29,22,2120,0.759,0,3,10,2,13,2,39,15,39,166,5,0,0,0,0,0,0,0,13,17,6.98
22136,B. Diakité,Bafodé,Diakité,b. diakite,France,24,Bournemouth,Defender,18,15,1286,0.833,0,0,1,0,3,0,20,5,12,60,1,0,0,0,0,0,0,0,5,8,6.66
31057,H. Traorè,Hamed Junior,Traorè,h. traore,Côte d'Ivoire,25,Bournemouth,Midfielder,1,0,16,0.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6.3
118307,Đ. Petrović,Đorđe,Petrović,đ. petrovic,Serbia,26,Bournemouth,Goalkeeper,38,38,3420,1.0,0,0,0,0,0,0,0,0,0,23,3,0,0,109,50,0,0,0,2,0,6.87
152856,Evanilson,Francisco Evanilson,de Lima Barbosa,evanilson,Brazil,26,Bournemouth,Attacker,36,32,2759,0.889,6,1,57,22,31,16,13,6,8,113,2,0,0,0,0,2,0,0,37,26,6.61
162267,A. Truffert,Adrien,Truffert,a. truffert,France,24,Bournemouth,Defender,38,38,3380,1.0,1,5,11,6,32,33,103,10,48,212,5,0,0,0,0,0,0,0,32,39,6.83
304853,A. Scott,Alex Jay,Scott,a. scott,England,22,Bournemouth,Midfielder,37,34,2859,0.919,3,1,30,13,28,29,60,15,36,185,5,0,0,0,0,0,0,0,60,45,7.08
363333,J. Soler,Julio César,Soler Barreto,j. soler,Argentina,20,Bournemouth,Defender,3,0,34,0.0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,2,6.4
368030,E. Kroupi,Eli Junior,Kroupi,e. kroupi,France,19,Bournemouth,Attacker,33,21,1690,0.636,13,0,33,22,22,15,9,0,9,44,5,0,0,0,0,0,0,0,12,27,6.8
402432,Ben Winterburn,Ben,Winterburn,ben winterburn,England,21,Bournemouth,Midfielder,1,0,13,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2
452685,R. Ngumoha,Rio,Ngumoha,r. ngumoha,England,17,Liverpool,Attacker,19,5,582,0.263,2,1,12,6,16,29,4,1,3,45,0,0,0,0,0,0,0,0,12,4,6.98
249,D. Malen,Donyell,Malen,d. malen,Netherlands,26,Aston Villa,Attacker,21,5,680,0.238,4,1,21,9,7,8,4,0,0,21,0,0,0,0,0,0,0,0,6,2,6.6
1904,B. Kamara,Boubacar Bernard,Kamara,b. kamara,France,26,Aston Villa,Midfielder,18,17,1418,0.944,1,3,4,4,15,14,37,8,18,116,5,0,0,0,0,0,0,0,30,17,7.11
2724,L. Digne,Lucas,Digne,l. digne,France,32,Aston Villa,Defender,31,21,1866,0.677,0,6,8,5,26,4,36,4,14,87,3,0,0,0,0,0,0,0,12,14,6.78
2926,Y. Tielemans,Youri Marion A.,Tielemans,y. tielemans,Belgium,28,Aston Villa,Midfielder,25,21,1874,0.84,0,4,17,7,32,9,58,14,18,129,0,0,0,0,0,0,0,0,41,25,7.21
19071,E. Buendía,Emiliano,Buendía Stati,e. buendia,Argentina,29,Aston Villa,Midfielder,36,21,1796,0.583,6,2,36,13,30,9,49,4,13,124,6,0,0,0,0,0,0,0,45,41,6.85
19170,M. Rogers,Morgan Elliot,Rogers,m. rogers,England,23,Aston Villa,Midfielder,37,37,3285,1.0,10,6,58,32,47,42,42,3,13,158,7,0,0,0,0,0,0,0,49,46,6.84
19179,T. Mings,Tyrone Deon,Mings,t. mings,England,32,Aston Villa,Defender,17,15,1335,0.882,0,0,5,1,5,2,5,9,11,54,1,0,0,0,0,0,0,0,9,10,6.69
19191,J.  McGinn,John,McGinn,j.  mcginn,Scotland,31,Aston Villa,Midfielder,30,28,2169,0.933,5,4,21,12,41,19,29,5,12,107,5,0,0,0,0,0,0,0,48,31,6.95
19298,M. Cash,Matthew Stuart,Cash,m. cash,Poland,28,Aston Villa,Defender,35,34,3032,0.971,3,3,22,10,31,11,66,14,22,137,9,0,0,0,0,0,0,0,30,41,6.84
19354,E. Konsa,Ezri,Konsa Ngoyo,e. konsa,England,28,Aston Villa,Defender,34,34,3036,1.0,0,0,7,2,5,8,22,29,22,100,0,0,1,0,0,0,0,0,40,11,7.0
19366,O. Watkins,Oliver George Arthur,Watkins,o. watkins,England,30,Aston Villa,Attacker,37,33,2864,0.892,16,3,60,38,23,26,22,2,6,116,4,0,0,0,0,0,0,0,32,35,6.87
36878,M. Bizot,Marco,Bizot,m. bizot,Netherlands,34,Aston Villa,Goalkeeper,7,6,597,0.857,0,0,0,0,0,0,0,0,0,2,2,0,0,19,10,0,0,0,1,1,6.54
46815,Pau Torres,Pau,Francisco Torres,pau torres,Spain,28,Aston Villa,Defender,21,18,1688,0.857,0,0,8,1,1,7,22,18,11,59,1,0,0,0,0,0,0,0,5,7,6.9
137303,E. Guessand,Evann,Guessand,e. guessand,France,24,Aston Villa,Attacker,13,6,597,0.462,0,1,7,5,4,7,18,3,1,44,0,0,0,0,0,0,0,0,12,11,6.41
138816,I. Maatsen,Ian Ethan,Maatsen,i. maatsen,Netherlands,23,Aston Villa,Defender,30,17,1627,0.567,0,1,14,5,26,21,43,1,19,101,2,0,0,0,0,0,0,0,19,17,6.59
162714,A. Onana,Amadou Ba Zeund Georges,Mvom Onana,a. onana,Belgium,24,Aston Villa,Midfielder,25,21,1788,0.84,2,0,15,7,7,7,48,17,24,121,3,0,0,0,0,0,0,0,25,20,7.03
284457,L. Bogarde,Lamare Trenton,Chansey Bogarde,l. bogarde,Netherlands,21,Aston Villa,Defender,28,11,1104,0.393,0,0,0,0,2,2,26,6,5,57,5,0,0,0,0,0,0,0,20,17,6.57
360268,J. Jimoh,Jamaldeen,Jimoh-Aloba,j. jimoh,England,19,Aston Villa,Midfielder,1,0,8,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6.7
169,K. Trippier,Kieran John,Trippier,k. trippier,England,35,Newcastle,Defender,21,18,1592,0.857,0,1,2,0,28,4,26,1,9,72,3,0,0,0,0,0,0,0,19,22,6.71
723,Joelinton,Joelinton Cássio,Apolinário de Lira,joelinton,Brazil,29,Newcastle,Midfielder,27,23,1953,0.852,2,1,23,11,17,16,43,3,29,149,10,0,0,0,0,0,0,0,27,47,6.8
2806,F. Schär,Fabian Lukas,Schär,f. schar,Switzerland,34,Newcastle,Defender,16,11,1091,0.688,0,0,13,4,4,0,14,12,18,66,1,0,0,0,0,0,0,0,6,15,7.12
2855,E. Krafth,Emil Henry Kristoffer,Krafth,e. krafth,Sweden,31,Newcastle,Defender,1,1,45,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.9
10135,Bruno Guimarães,Bruno,Guimarães Rodriguez Moura,bruno guimaraes,Brazil,28,Newcastle,Midfielder,29,27,2455,0.931,9,5,36,23,46,18,62,3,15,168,6,0,0,0,0,2,0,0,75,45,7.47
18778,H. Barnes,Harvey Lewis,Barnes,h. barnes,England,28,Newcastle,Attacker,37,19,1970,0.514,7,1,39,21,24,13,14,1,3,57,1,0,0,0,0,0,0,0,23,17,6.77
18911,N. Pope,Nicholas David,Pope,n. pope,England,33,Newcastle,Goalkeeper,27,27,2426,1.0,0,0,1,1,0,0,1,0,0,17,2,0,0,89,38,0,0,0,2,1,6.94
18961,D. Burn,Daniel Johnson,Burn,d. burn,England,33,Newcastle,Defender,29,25,2209,0.862,1,2,7,3,7,2,40,12,21,151,10,1,0,0,0,1,0,0,13,36,6.59
19163,J. Murphy,Jacob Kai,Murphy,j. murphy,England,30,Newcastle,Midfielder,33,19,1627,0.576,3,2,28,13,23,21,16,4,6,57,2,0,0,0,0,0,0,0,13,9,6.71
20355,A. Ramsdale,Aaron Christopher,Ramsdale,a. ramsdale,England,27,Newcastle,Goalkeeper,12,11,1003,0.917,0,0,0,0,1,0,0,0,0,6,2,0,0,25,17,0,0,0,1,0,6.61
31146,S. Tonali,Sandro,Tonali,s. tonali,Italy,25,Newcastle,Midfielder,35,31,2543,0.886,0,2,19,8,32,19,35,7,30,107,4,0,0,0,0,0,0,0,42,24,6.95
38734,S. Botman,Sven Adriaan,Botman,s. botman,Netherlands,25,Newcastle,Defender,25,21,1847,0.84,1,1,11,4,8,4,22,26,27,132,2,0,0,0,0,0,0,0,19,13,7.04
138787,A. Gordon,Anthony Michael,Gordon,a. gordon,England,24,Newcastle,Attacker,26,24,1817,0.923,6,2,37,20,26,33,19,0,3,101,3,0,1,0,0,1,0,0,40,13,7.08
153430,A. Elanga,Anthony David,Junior Elanga,a. elanga,Sweden,23,Newcastle,Attacker,32,14,1347,0.438,0,1,12,4,15,13,14,0,3,65,0,0,0,0,0,0,0,0,25,8,6.57
158694,T. Livramento,Valentino Francisco,Livramento,t. livramento,England,23,Newcastle,Defender,17,14,1328,0.824,0,1,1,0,11,14,22,2,6,61,1,0,0,0,0,0,0,0,16,7,6.8
163189,M. Thiaw,Malick Laye,Thiaw,m. thiaw,Germany,24,Newcastle,Defender,35,33,2973,0.943,4,0,20,14,6,8,44,33,30,176,4,0,0,0,0,0,0,0,11,24,7.04
284492,L. Hall,Lewis Kieran,Hall,l. hall,England,21,Newcastle,Defender,30,24,2188,0.8,1,1,14,6,25,37,54,14,28,158,4,0,0,0,0,0,0,0,41,17,6.88
315237,W. Osula,William Idamudia,Daugaard Osula,w. osula,Denmark,22,Newcastle,Attacker,24,8,863,0.333,7,0,16,12,6,8,6,1,1,39,0,0,0,0,0,0,0,0,16,24,6.8
328105,L. Miley,Lewis,Miley,l. miley,England,19,Newcastle,Midfielder,23,15,1494,0.652,1,4,8,4,15,12,29,3,20,89,0,0,0,0,0,0,0,0,4,5,6.95
296,J. Milner,James Philip,Milner,j. milner,England,39,Brighton,Midfielder,20,7,802,0.35,1,1,6,2,8,1,15,1,6,25,2,0,0,0,0,0,0,0,3,15,6.72
537,J. Veltman,Joël Ivo,Veltman,j. veltman,Netherlands,33,Brighton,Defender,24,9,1073,0.375,1,0,2,1,4,2,31,6,18,75,5,0,0,0,0,0,0,0,22,10,6.84
1361,F. Kadıoğlu,Ferdi Erenay,Kadıoğlu,f. kadioglu,Türkiye,26,Brighton,Defender,37,34,3135,0.919,1,0,22,13,22,12,58,7,26,137,6,0,0,0,0,0,0,0,36,22,6.83
1469,D. Welbeck,Daniel Nii,Tackie Mensah Welbeck,d. welbeck,England,35,Brighton,Attacker,37,26,2268,0.703,13,1,46,28,20,11,24,0,9,64,5,0,0,0,0,0,2,0,10,30,6.68
18963,L. Dunk,Lewis Carl,Dunk,l. dunk,England,34,Brighton,Defender,33,31,2844,0.939,1,0,19,3,7,4,34,27,30,127,10,0,0,0,0,1,0,0,12,15,6.95
19030,M. O&apos;Riley,Matthew Sean,O'Riley,m. o&apos;riley,Denmark,25,Brighton,Midfielder,6,2,203,0.333,1,0,4,2,4,0,5,1,0,8,0,0,0,0,0,0,0,0,1,2,6.65
22160,O. Boscagli,Olivier Maxime,Boscagli,o. boscagli,France,28,Brighton,Defender,12,9,819,0.75,0,1,1,0,4,2,16,2,18,46,2,0,0,0,0,0,0,0,11,7,6.96
38695,J. van Hecke,Jan Paul,van Hecke,j. van hecke,Netherlands,25,Brighton,Defender,36,36,3211,1.0,3,3,16,10,13,3,53,28,47,208,9,0,0,0,0,0,0,0,43,27,7.26
90590,G. Rutter,Georginio,Rutter,g. rutter,France,23,Brighton,Attacker,32,20,1804,0.625,3,3,28,14,25,28,32,1,11,113,2,0,0,0,0,1,0,0,34,30,6.63
92993,M. Wieffer,Mats,Wieffer,m. wieffer,Netherlands,26,Brighton,Defender,26,23,1914,0.885,2,3,13,6,20,9,66,7,25,140,8,0,0,0,0,0,0,0,22,30,6.74
106835,K. Mitoma,Kaoru,Mitoma,k. mitoma,Japan,28,Brighton,Midfielder,25,19,1721,0.76,3,1,24,13,31,27,18,1,8,81,5,0,0,0,0,0,0,0,21,31,6.81
